question,choices,answer,answer_letter,category,country,image_id,question_type,annotation_id,model_answer,Evaluation,run_time
ما هو المجمع التجاري الذي يظهر في الصورة ويقدم العديد من الخدمات والسلع للمتسوقين؟,['A. مجمع التأمينات الاجتماعيةB. مجمع المنامةC. مجمع البحرينD. مجمع الحورة'],مجمع التأمينات الاجتماعية,A,Geography,Bahrain,36030.png,multiple_choice,11892,مجمع البحرين,0.0,1.39
ما هو المعلم المعماري الذي يظهر في الصورة ويتميز بتصميمه الفريد الذي يعكس التراث الماروني؟,['A. البازيليكا البيزنطيةB. القبة الكبيرةC. برج جرس الدير المارونيD. المنارة الإسلامية'],برج جرس الدير الماروني,C,Architecture,Palestine,3092,multiple_choice,934,C. برج جرس الدير الماروني,0.88,1.29
ما هو المعلم المعماري الذي يظهر في الصورة ويتميز بتصميمه التقليدي العربي؟,['A. متحف البحرين للنفطB. جبل الدخانC. قصر الصخيرD. متحف البحرين الوطني'],قصر الصخير,C,Geography,Bahrain,25256.png,multiple_choice,11936,قصر الصخير,1.0,1.5
يظهر في الصورة مسجد بدأ بناؤه في عام 1984.,[],'TRUE',nan,Geography,UAE,83870.png,true_false,15619,TRUE,0.667,1.07
ما هو التصميم المعماري الفريد الذي يظهر في الصورة ويتناغم مع البيئة الصحراوية المحيطة؟,['A. البناء المقوس من الجصB. البناء المدبب من الخشبC. البناء المربع من الحجارة الصخريةD. البناء الدائري من الطوب'],البناء المربع من الحجارة الصخرية,C,Geography,Jordan,31551.png,multiple_choice,24941,A. البناء المقوس من الجص,0.0,1.44
ما هي أهمية الشجرة التي تظهر في الصورة في الثقافة المغربية؟,['A. تستخدم في صناعة الورقB. تستخدم في صناعة الأدوات الموسيقيةC. تستخدم في العديد من الاستخدامات الغذائية والطبية والصناعيةD. تستخدم في صناعة الأثاث'],تستخدم في العديد من الاستخدامات الغذائية والطبية والصناعية,C,Flora,Morocco,46185.png,multiple_choice,16676,C. تستخدم في العديد من الاستخدامات الغذائية والطبية والصناعية,0.951,1.32
ما هو الموقع الطبيعي الذي يحيط بالمنشأة الرياضية كما يظهر في الصورة؟,['A. جبال صخريةB. أشجار نخيل ومساحات خضراءC. غابات كثيفةD. شواطئ رملية'],أشجار نخيل ومساحات خضراء,B,Geography,Bahrain,25255.png,multiple_choice,11934,أ. أشجار نخيل ومساحات خضراء,0.889,1.66
ما هو المعلم التاريخي الذي يظهر في الصورة ويعود إلى القرن السادس الميلادي؟,['A. المسرح الرومانيB. باب كاركالاC. الكنيسة الرومانيةD. المعبد الوثني'],باب كاركالا,B,LandMarks,Algeria,5245,multiple_choice,26456,باب كاركالا,1.0,1.8
ما هو العنصر الذي يظهر في الصورة ويستخدم كمساحة للقاءات الاجتماعية والثقافية في حلب العثمانية؟,['A. القيصرياتB. قاعة القهوةC. الخانD. الأفران الخبز'],قاعة القهوة,B,Architecture,Syria,123526,multiple_choice,836,A. القيصريات,0.0,1.16
تُقدم العصيدة التونسية في المناسبات الاجتماعية المهمة.,[],'TRUE',nan,Food,Tunisia,105572,true_false,9189,TRUE,0.667,0.98
ما هي الدولة التي تمثلها الجزيرة الصغيرة باللون الأخضر الذي يظهر في الصورة؟,['A. البحرينB. قطرC. الإمارات العربية المتحدةD. السعودية'],البحرين,A,Geography,Qatar,83392.png,multiple_choice,14220,البحرين,1.0,1.01
ما هو الارتفاع الذي تصل إليه المنارات المرتفعة كما يظهر في الصورة؟,['A. 100 مترًاB. 60 مترًاC. 70 مترًاD. 80 مترًا'],80 مترًا,D,Architecture,Oman,105389,multiple_choice,4065,لا أستطيع تحديد الارتفاع بناءً على الصورة فقط.,0.0,1.72
الحوش في البيت الموصلي كان يستخدم فقط للزينة.,[],'FALSE',nan,Architecture,Iraq,78062,true_false,15926,FALSE,0.714,1.3
القباب التي تعلو الشرفة هي نتيجة التوسعات التي تم إجراؤها على حساب المنازل المجاورة.,[],'TRUE',nan,Architecture,Tunisia,45054,true_false,205,FALSE,0.0,1.03
كما يظهر في الصورة، فإن مدينة الكويت تتميز بأهميتها كمركز حكومي واقتصادي رئيسي في الكويت.,[],'TRUE',nan,Geography,Kuwait,57753.png,true_false,17456,TRUE,0.667,1.42
ما هو الموقع الذي يحتوي على تماثيل معقدة تصور إلهًا مهمًا في الحضارة المروية؟,['A. مرويB. النقعةC. المصورات الصفراءD. البطانة'],النقعة,B,Geography,Sudan,68544.png,multiple_choice,20758,A. مروي,0.0,1.17
الزي التقليدي الذي يظهر في الصورة ليس رمزاً للهوية الثقافية والتراث الأمازيغي.,[],'FALSE',nan,Clothes,Tunisia,25136.png,true_false,16953,FALSE,0.714,2.56
ما هو المبنى الذي يظهر في الصورة ويعكس الطراز المعماري الإسلامي القديم؟,['A. القبة البيضاءB. التوابيت الخشبيةC. المنارةD. المشربيات الخشبية'],المنارة,C,Architecture,Yemen,528,multiple_choice,1229,C. المنارة,0.7,1.23
ما هو الموقع الأثري الذي يظهر في الصورة ويعكس التأثير الروماني في الجزائر؟,['A. مدينة تيمقادB. قصر البايC. معبد أورليكاD. القصبة في الجزائر العاصمة'],مدينة تيمقاد,A,LandMarks,Algeria,5344,multiple_choice,26474,A. مدينة تيمقاد,0.8,1.88
ترفرف أعلام الإمارات العربية المتحدة على قمة المبنى البارز في الصورة، مما يعكس الهوية الوطنية للمكان.,[],'TRUE',nan,Geography,UAE,50321.png,true_false,16113,TRUE,0.667,1.61
ما هي النباتات التي تحيط بالمكان كما يظهر في الصورة؟,['A. أشجار الصنوبرB. أشجار نخيل ونباتات خضراءC. نباتات صحراويةD. أزهار ملونة'],أشجار نخيل ونباتات خضراء,B,Geography,Kuwait,23115.png,multiple_choice,18397,B. أشجار نخيل ونباتات خضراء,0.889,1.04
ما هو النمط الهندسي الذي يظهر في الصورة على العلم؟,['A. الدائرة الزرقاءB. الصليب الأحمرC. الأشواك البيضاءD. النجمة الذهبية'],الأشواك البيضاء,C,Geography,Qatar,39003.png,multiple_choice,14102,الأشواك البيضاء,1.0,1.01
من هو الشاعر الذي كتب كلمات أغنية حبيبها؟,['A. كامل الشناويB. محمد الموجيC. أحمد فؤاد حسنD. علي إسماعيل'],كامل الشناوي,A,Music,Egypt,43052.png,multiple_choice,12741,A. كامل الشناوي,0.8,2.08
هل يرتبط اللباس التقليدي الذي يظهر في الصورة بثلاث روايات حول أصل تسميته؟,[],'TRUE',nan,Clothes,Algeria,8216.png,true_false,26355,FALSE,0.0,1.03
هل الصورة تظهر مجموعة من الرجال يرتدون الملابس التقليدية العمانية، وهذا يعكس الحفاظ على التراث الثقافي في ولاية إبراء.؟,[],'TRUE',nan,Geography,Oman,18124.png,true_false,10376,TRUE,0.667,1.08
الصحراء التي تظهر في الصورة تمثل معظم أراضي الكويت.,[],'TRUE',nan,Geography,Kuwait,48112.png,true_false,11473,FALSE,0.0,1.32
ما هو الارتفاع الذي يظهر في الصورة لواحد من أبرز المعالم الجغرافية في دولة الإمارات العربية المتحدة؟,['A. جبل الفيروزB. جبل حفيتC. جبل جيسD. جبل ياس'],جبل جيس,C,Geography,UAE,608.png,multiple_choice,15139,جبل حفيت,0.625,1.34
ما هو نوع الشجرة الذي يظهر في الصورة وينمو في مناطق البحر الأبيض المتوسط بما في ذلك شمال تونس والجزائر والمغرب؟,['A. الصنوبر الأصفرB. الصنوبر الأحمرC. الصنوبر الأسودD. الصنوبر البحري'],الصنوبر البحري,D,Flora,Morocco,60236.png,multiple_choice,22215,C. الصنوبر الأسود,0.588,2.03
ما هو التحدي البيئي الذي يواجه المدينة كما يظهر في الصورة؟,['A. الفيضاناتB. الكثبان الرملية القادمة من الجهة الشرقيةC. الجفاف الشديدD. الزلازل'],الكثبان الرملية القادمة من الجهة الشرقية,B,Geography,Mauritania,83169.png,multiple_choice,13681,A. الفيضانات,0.0,1.01
ما هي الساحة التي تحيط بها المعابد وقوس النصراني والحمامات والسوق في المدينة الظاهرة في الصورة؟,['A. الساحة العمومية الثانيةB. قاعة اجتماع المجلس البلديC. الكابيتولD. الساحة العمومية الأولى'],الساحة العمومية الثانية,A,LandMarks,Algeria,5359,multiple_choice,26481,A. الساحة العمومية الثانية,0.885,0.97
ما هو الارتفاع التقريبي للبناء الذي يظهر في الصورة؟,['A. القبة ترتفع بحوالي 40 مترًاB. الجدار يبلغ ارتفاعه حوالي 30 مترًاC. المئذنة ترتفع بحوالي 52 مترًاD. الباب يبلغ ارتفاعه حوالي 10 أمتار'],المئذنة ترتفع بحوالي 52 مترًا,C,Architecture,Yemen,529,multiple_choice,1230,C. المئذنة ترتفع بحوالي 52 مترًا,0.906,1.07
كما يظهر في الصورة، بيت أجقباش هو متحف تقليدي شعبي للفن في حلب.,[],'TRUE',nan,Architecture,Syria,123507,true_false,817,TRUE,0.667,2.55
كما يظهر في الصورة، كان مسرح حلوان يستخدم فقط لعرض المسرحيات وعرض الأفلام.,[],'FALSE',nan,Music,Egypt,43694.png,true_false,20335,FALSE,0.714,1.02
المسجد الذي يظهر في الصورة تم تجديده في عام 1062هـ/1651م.,[],'TRUE',nan,Geography,Saudi_Arabia,56983.png,true_false,10584,FALSE,0.0,1.13
ما هو العنصر الذي يظهر في الصورة ويحمل اسم المبنى باللغة العربية والإنجليزية؟,['A. الباب الرئيسيB. النوافذ الدائريةC. السقف المحدبD. الشرفة المزخرفة'],الشرفة المزخرفة,D,Architecture,Palestine,2949,multiple_choice,182,السقف المحدب,0.0,1.67
ما هي الميزة الجغرافية البارزة التي تحيط بالمنطقة كما يظهر في الصورة؟,['A. سفوح جبل حفيتB. السهول الخضراءC. الشواطئ الرمليةD. الوديان العميقة'],سفوح جبل حفيت,A,Geography,UAE,9393.png,multiple_choice,10656,A. سفوح جبل حفيت,0.812,1.59
الملعب الذي يظهر في الصورة يستوعب حوالي 10000 متفرج.,[],'FALSE',nan,Architecture,Oman,105487,true_false,4331,FALSE,0.714,1.33
الكبسة هي وجبة رئيسية في دول الخليج العربي كما يظهر في الصورة.,[],'TRUE',nan,Food,Bahrain,46708,true_false,6441,صواب,0.0,0.99
ما هي المكسرات التي تزين سطح الحلوى العمانية الظاهر في الصورة؟,['A. المكسرات السوداءB. المكسرات البنيةC. المكسرات الحمراءD. المكسرات الخضراء والبيضاء'],المكسرات الخضراء والبيضاء,D,Food,Oman,6653,multiple_choice,4479,D. المكسرات الخضراء والبيضاء,0.893,2.5
ما هو العنصر الذي يظهر في الصورة ويضيف جواً تقليدياً وجميلاً للمنطقة؟,['A. المائدة الخشبيةB. الملابس الملونةC. النافورة الصغيرةD. الأفران الكبيرة'],النافورة الصغيرة,C,Food,Egypt,68313,multiple_choice,360,C. النافورة الصغيرة,0.842,2.32
كما يظهر في الصورة، فإن القرية تتميز بتنوع المباني في الأشكال والأحجام.,[],'TRUE',nan,Architecture,Lebanon,19281,true_false,12006,TRUE,0.667,1.74
ما هو الخبز الذي يظهر في الصورة ويستخدم كقاعدة للطبق التقليدي؟,['A. خبز التبولةB. خبز الطابونC. خبز الشراكD. خبز الصاج'],خبز الشراك,C,Food,Jordan,18231,multiple_choice,16282,خبز الشراك,1.0,1.17
ما هو العنصر الطبيعي الذي يظهر في الصورة ويشكل تبايناً جميلاً مع الرمال المحيطة؟,['A. الأعشاب الخضراء والنباتات الصحراويةB. الكثبان الرمليةC. أشجار الصنوبرD. الصخور الجبلية'],الأعشاب الخضراء والنباتات الصحراوية,A,Geography,Mauritania,38468.png,multiple_choice,13715,A. الأعشاب الخضراء والنباتات الصحراوية,0.921,2.44
ما هو المعلم التاريخي الذي يظهر في الصورة ويتميز بتصميمه المعماري الفريد الذي يعكس الفن والهندسة الرومانية؟,['A. المجمعات الرياضيةB. الحمامات العامةC. الكاتدرائية الصليبيةD. قوس النصر الروماني'],قوس النصر الروماني,D,Architecture,Lebanon,18735,multiple_choice,11834,قوس النصر الروماني,1.0,1.66
ما هو الموقع الجغرافي للقرية التي يقع فيها المعلم الذي يظهر في الصورة؟,['A. في وسط البحرينB. في محافظة العاصمةC. في جنوب البحرينD. في شمال البحرين'],في محافظة العاصمة,B,Geography,Bahrain,40711.png,multiple_choice,11943,لا أستطيع تحديد الموقع الجغرافي للقرية بناءً على الصورة فقط.,0.0,1.97
ما هي الميزة الجغرافية التي تحيط بالسفن كما يظهر في الصورة؟,['A. المياه المضطربةB. الشواطئ الصخريةC. الشعاب المرجانيةD. المياه المحيطة هادئة'],المياه المحيطة هادئة,D,Geography,Qatar,81944.png,multiple_choice,14139,D. المياه المحيطة هادئة,0.87,1.6
ما هو العنصر المعماري الذي يظهر في الصورة ويسمح بدخول الضوء الطبيعي إلى المسجد؟,['A. الفسحة المكشوفةB. الأبواب الخشبيةC. النوافذ الزجاجيةD. الثقوب في السقف'],الفسحة المكشوفة,A,Architecture,Egypt,107023,multiple_choice,222,C. النوافذ الزجاجية,0.0,1.32
ما هو الشارع الذي يمتد بجانب الحديقة والذي يظهر في الصورة؟,['A. شارع الكورنيشB. شارع السياراتC. شارع المبخرةD. شارع الحديقة'],شارع الكورنيش,A,Geography,Oman,31815.png,multiple_choice,11344,شارع الحديقة,0.538,2.18
ما هو اللون البارز للقطع التي تضاف إلى البيض المخفوق الذي يظهر في الصورة؟,['A. لون أحمر غامقB. لون بني داكنC. لون أصفر فاتحD. لون أخضر فاتح'],لون أحمر غامق,A,Food,Egypt,68246,multiple_choice,285,لون بني داكن,0.0,1.11
ما هو العنصر الذي يظهر في الصورة ويشير إلى استخدامه كنافذة أو باب في البناء القديم؟,['A. النقوش الدينيةB. الفتحة المربعةC. الأشجار المغطيةD. السماء الزرقاء'],الفتحة المربعة,B,Architecture,Syria,123417,multiple_choice,723,الفتحة المربعة,1.0,2.08
ما هو النبات الذي يظهر في الصورة ويتميز بأزهار زرقاء داكنة وبنية فاتحة؟,['A. الزهور البريةB. سالفيا جوردانيC. الروزماريD. اللافندر'],سالفيا جورداني,B,Flora,Morocco,65798.png,multiple_choice,19994,B. سالفيا جورداني,0.824,1.14
ما هو الوادي الذي يمتد لحوالي 40 كيلومترًا في وسط الجزء الغربي من الأردن، كما يظهر في الصورة؟,['A. وادي الزرقاءB. وادي الموجبC. وادي الحساD. وادي رم'],وادي الحسا,C,Geography,Jordan,66981.png,multiple_choice,24937,وادي الموجب,0.636,0.99
ما هو العنصر الذي يكشف عنه الإضاءة الضعيفة كما يظهر في الصورة؟,['A. الحوائط الزجاجيةB. الأسقف الخرسانيةC. نسيج الصخور والترابD. الجدران المبلطة'],نسيج الصخور والتراب,C,Architecture,Palestine,3052,multiple_choice,9135,نسيج الصخور والتراب,1.0,1.49
كانت الصليبيخات تُعرف سابقًا باسم 'مدينة العمال' نظرًا لكونها مسكنًا للعمال الذين شاركوا في بناء الدولة الحديثة بعد الاستقلال.,[],'TRUE',nan,Geography,Kuwait,34955.png,true_false,18475,FALSE,0.0,1.08
ما هو العنصر المعماري الظاهر في الصورة والذي يشير إلى الوقت للناس في المنطقة؟,['A. القبةB. المنارةC. المدرسةD. برج الساعة'],برج الساعة,D,Architecture,Iraq,78019,multiple_choice,15905,برج الساعة,1.0,2.18
ما هو الموقع الأثري الذي تم العثور فيه على قطعة أثرية نادرة؟,['A. النيل الأزرقB. العاصمة الخرطومC. النيل الأبيضD. جبل البركل'],جبل البركل,D,Geography,Sudan,68465.png,multiple_choice,20779,D. جبل البركل,0.769,1.19
ما هي البيئة المحيطة بالبناء الذي يظهر في الصورة؟,['A. بيئة صحراويةB. بيئة غابيةC. بيئة جبليةD. بيئة ساحلية'],بيئة صحراوية,A,Architecture,Lebanon,18861,multiple_choice,11867,A. بيئة صحراوية,0.8,1.35
ما هو الجزء التاريخي الذي يظهر في الصورة؟,['A. المسجد الإبراهيميB. الحي السكني الحديثC. البلدة القديمة في الخليلD. السوق الحديث'],البلدة القديمة في الخليل,C,Architecture,Palestine,2891,multiple_choice,8922,C. البلدة القديمة في الخليل,0.889,2.33
ما هي الألوان التي تظهر في الجزء العلوي من الشعار الذي يظهر في الصورة؟,['A. الأزرق والأصفر والأخضر والأسودB. الأسود والأبيض والأخضر والأحمرC. البنفسجي والأخضر والأزرق والأبيضD. البرتقالي والأحمر والأبيض والأسود'],الأسود والأبيض والأخضر والأحمر,B,Geography,Kuwait,21297.png,multiple_choice,17471,A. الأزرق والأصفر والأخضر والأسود,0.636,1.36
كما يظهر في الصورة، فإن السماء صافية وزرقاء، مما يضفي جواً هادئاً وساحراً على المشهد.,[],'TRUE',nan,Architecture,Iraq,78036,true_false,16009,TRUE,0.667,1.68
تحيط بالمسجد أشجار تضفي لمسة من الحياة على المشهد الصحراوي. هذه الأشجار هي النخيل.,[],'TRUE',nan,LandMarks,Libya,131749,true_false,18223,FALSE,0.0,1.54
ما هو النوع من المركبات العسكرية الذي يظهر في الصورة؟,['A. دبابة تي-55B. طائرة مقاتلةC. مدرعةD. قارب حربي'],دبابة تي-55,A,Geography,Kuwait,24764.png,multiple_choice,17931,دبابة تي-55,1.0,2.12
ما هو الزي التقليدي الذي يظهر في الصورة ويتميز بألوان زاهية وتطريزات مميزة؟,['A. الثوب العربيB. القفطان المغربيC. الدشداشةD. الجبة القبائلية'],الجبة القبائلية,D,Clothes,Algeria,32010.png,multiple_choice,26443,B. القفطان المغربي,0.0,1.34
ما هو العنصر المعماري الذي يظهر في الصورة ويتميز بنقوش نباتية معقدة وعناصر هندسية دقيقة؟,['A. السقف المقوسB. القوس المعماريC. الجدار الخارجيD. الحاجز الخشبي'],القوس المعماري,B,Architecture,Iraq,78081,multiple_choice,15997,B. القوس المعماري,0.824,1.8
السنديان الفليني يمكن نزع لحائه لإنتاج الفلين بعد أن تبلغ الشجرة 20 سنة من عمرها.,[],'FALSE',nan,Flora,Morocco,16052.png,true_false,23537,TRUE,0.0,1.03
ما هو النوع من الفن الذي يظهر في الصورة على الأرفف الخشبية في الخلفية؟,['A. الرسومات الرقميةB. النحت الحديثC. الفن المعاصرD. اللوحات الفنية المزخرفة برسومات تقليدية وكتابات عربية'],اللوحات الفنية المزخرفة برسومات تقليدية وكتابات عربية,D,Geography,Jordan,24454.png,multiple_choice,24959,D. اللوحات الفنية المزخرفة برسومات تقليدية وكتابات عربية,0.946,1.1
ما هو الموقع الجغرافي الذي يظهر في الصورة ويشتهر بمناخه المعتدل صيفاً والبارد شتاءً؟,['A. مدينة عمانB. محافظة جرشC. محافظة عجلونD. محافظة إربد'],محافظة عجلون,C,Geography,Jordan,59980.png,multiple_choice,27378,C. محافظة عجلون,0.8,1.81
ما هي المادة الرئيسية التي تم استخدامها في بناء الأعمدة التي تظهر في الصورة؟,['A. الطوب الأحمرB. الرخامC. الخشبD. الجرانيت'],الطوب الأحمر,A,Architecture,Egypt,107028,multiple_choice,227,B. الرخام,0.0,1.11
ما هو الارتفاع الذي تصل إليه القمة الشهيرة في غابات برقش الظاهر في الصورة؟,['A. حوالي 600 متراًB. حوالي 500 متراًC. حوالي 875 متراًD. حوالي 1000 متراً'],حوالي 875 متراً,C,Geography,Jordan,10647.png,multiple_choice,24952,لا أستطيع المساعدة في ذلك.,0.0,2.39
ما هو نوع اللباس التقليدي الذي يظهر في الصورة ويغطي كامل الجسم ماعدا الذراعين والساقين؟,['A. الجبةB. القفطانC. الدشداشةD. الثوب'],الجبة,A,Clothes,Tunisia,5894.png,multiple_choice,16950,A. الجبة,0.625,1.25
ما هو اللون الذي يتميز به العسل الذي يعتبر رمزاً للصحة والقوة في الثقافة المصرية؟,['A. لون غامقB. لون أبيضC. لون أصفرD. لون برتقالي'],لون غامق,A,Food,Egypt,68270,multiple_choice,8881,لون غامق,1.0,0.94
الرقصة التي تُؤديها الفرقة في الصورة هي جزء من التراث الثقافي للمنطقة.,[],'TRUE',nan,Geography,Libya,55354.png,true_false,18854,صواب,0.0,0.98
السماء الظاهر في الصورة تبدو صافية مع بعض الغيوم، مما يعكس جواً هادئاً وساحراً.,[],'TRUE',nan,Geography,Mauritania,28530.png,true_false,13654,FALSE,0.0,1.15
ما هي القرية التي تحيط بها التضاريس الصحراوية والأنهار  في الصورة؟,['A. قرية عطشB. قرية سلمC. قرية كويكةD. قرية كدفوة'],قرية كويكة,C,Geography,Sudan,36716.png,multiple_choice,20371,قرية كويكة,1.0,1.1
القرية التي يظهر في الصورة هي أول قرية تراثية أردنية تم ترميمها من أجل السياحة.,[],'TRUE',nan,Geography,Jordan,56703.png,true_false,24932,TRUE,0.667,1.09
ما هو الممر الذي يمتد نحو المنصة الرئيسية في القاعة الظاهرة في الصورة؟,['A. ممر مرصوف بالرخامB. ممر خشبيC. ممر مغطى بسجاد أحمرD. ممر بلاط رخامي'],ممر مغطى بسجاد أحمر,C,Architecture,Egypt,107108,multiple_choice,549,ممر مغطى بسجاد أحمر,1.0,1.22
هل يقام سوق جارا في منطقة حضرية كما يظهر في الصورة؟,[],'TRUE',nan,LandMarks,Jordan,66919,true_false,24170,TRUE,0.667,1.56
ما هو نوع اللحم الذي يظهر في الصورة ويتم تتبيله بالملح والبهار الأسود والخردل واللبن؟,['A. كباب لحم الضأنB. كباب دجاج مشويC. كفتة بقرD. شيش طاووق'],شيش طاووق,D,Food,Egypt,68304,multiple_choice,8890,شيش طاووق,1.0,1.67
ما هي الآلة الإيقاعية التي تستخدم في فنون مختلفة مثل العيالة والليوا والصوت كما يظهر في الصورة؟,['A. المرواسB. الدفC. طبل الرأسD. القوطة'],المرواس,A,Music,Oman,51629.png,multiple_choice,10886,طبل الرأس,0.0,0.99
ما هو الشكل المعماري الذي يظهر في الصورة ويتميز بقبة مخروطية على قمته؟,['A. القبر المركزيB. الجدار الحجريC. المباني السكنيةD. الأشجار الكثيفة'],القبر المركزي,A,Architecture,Iraq,78354,multiple_choice,17120,A. القبر المركزي,0.812,1.6
ما هي الميزة المعمارية في قلعة القطرون والتي تستخدم للدفاع؟,['A. أبواب خشبية ضخمةB. فتحات صغيرة في الجدرانC. أسوار حديديةD. نوافذ زجاجية كبيرة'],فتحات صغيرة في الجدران,B,Geography,Libya,27504.png,multiple_choice,19132,فتحات صغيرة في الجدران,1.0,0.96
كما يظهر في الصورة، لم يتم استخدام التكنولوجيا الحديثة في المبنى.,[],'FALSE',nan,Architecture,Yemen,465,true_false,60,TRUE,0.0,1.68
ما هو المعلم الديني الذي يظهر في الصورة ويتميز بتصميمه الأنيق وواجهة بيضاء ناصعة؟,['A. معبد هندوسيB. كنيسة كاثوليكيةC. مسجد جامعD. كاتدرائية مور اغناطيوس اليعقوبية الأرثوذكسية السورية'],كاتدرائية مور اغناطيوس اليعقوبية الأرثوذكسية السورية,D,Geography,UAE,9628.png,multiple_choice,10766,D. كاتدرائية مور اغناطيوس اليعقوبية الأرثوذكسية السورية,0.945,1.99
ما هي الحدود البرية التي تظهر في الصورة مع دولة جنوبية؟,['A. الكويتB. الإمارات العربية المتحدةC. المملكة العربية السعوديةD. عمان'],المملكة العربية السعودية,C,Geography,Qatar,27281.png,multiple_choice,14165,C. المملكة العربية السعودية,0.889,2.65
ما هو المكون الذي يظهر في الصورة ويتميز بلونه الأحمر ويعزز نكهة الطبق؟,['A. الثومB. البندورةC. البصل الأخضرD. الزيتون'],البندورة,B,Food,Lebanon,104856,multiple_choice,10462,ب. البندورة,0.727,1.8
ما هي الفترة التاريخية التي يعود إليها البناء الذي يظهر في الصورة؟,['A. الفترة الرومانية البيزنطيةB. الفترة الفاطميةC. الفترة الأمويةD. الفترة العثمانية'],الفترة الرومانية البيزنطية,A,Architecture,Syria,123416,multiple_choice,722,A. الفترة الرومانية البيزنطية,0.897,1.82
ما هي الألوان التي تستخدم في الشراع كما يظهر في الصورة؟,['A. الوردي، الأزرق، الأخضرB. الأصفر، البرتقالي، الأرجوانيC. الرمادي، البني، الأبيضD. الأزرق، الأخضر، الأحمر، والأسود'],الأزرق، الأخضر، الأحمر، والأسود,D,Geography,Kuwait,60513.png,multiple_choice,17487,D. الأزرق، الأخضر، الأحمر، والأسود,0.912,1.59
في أي بيئة تفضل النبات الذي يظهر في الصورة النمو في المغرب؟,['A. الصحراءB. المروج الرطبة والمناطق العشبيةC. الجبالD. الغابات الكثيفة'],المروج الرطبة والمناطق العشبية,B,Flora,Morocco,23819.png,multiple_choice,16921,B. المروج الرطبة والمناطق العشبية,0.909,1.08
ما هو نوع الشجرة الذي يظهر في الصورة ويعتبر من الأشجار الدائمة الخضرة في المنطقة المتوسطية؟,['A. شجرة الخروبB. شجرة النخيلC. شجرة الزيتونD. شجرة الصنوبر'],شجرة الخروب,A,Flora,Morocco,46182.png,multiple_choice,16900,A. شجرة الخروب,0.786,1.88
ما هو الموقع التاريخي الذي يظهر في الصورة ويشهد على الحضارة النبطية في وادي رم؟,['A. المعبد النبطيB. القصر الرومانيC. الحصن العثمانيD. الدير البيزنطي'],المعبد النبطي,A,Geography,Jordan,52655.png,multiple_choice,24954,المعبد النبطي,1.0,1.8
ما هو العنصر الطبيعي الذي يظهر في الصورة ويحيط بالقلعة؟,['A. السهول الخضراءB. الغابات الكثيفةC. الأنهارD. التضاريس الجبلية والصخرية'],التضاريس الجبلية والصخرية,D,Architecture,Palestine,3119,multiple_choice,1167,لا أستطيع تحديد العنصر الطبيعي الذي يظهر في الصورة.,0.0,1.89
ما هو نوع اللحم الذي يظهر في الصورة في هذا الطبق التقليدي؟,['A. لحم البقرB. لحم الخنزيرC. لحم الضأنD. لحم الدجاج'],لحم الضأن,C,Food,Jordan,18234,multiple_choice,16286,لحم الضأن,1.0,3.7
الصحراء الشرقية تتميز بسلسلة جبال موازية للساحل الظاهر في الصورة.,[],'صحيح',nan,Geography,Egypt,83803.png,true_false,9850,صواب/خطأ: TRUE,0.0,1.9
ما هو اللون الذي يميز الطبقة العلوية للكشري؟,['A. الذهبيB. الأبيضC. الأسودD. الأحمر'],الذهبي,A,Food,Egypt,68187,multiple_choice,272,A. الذهبي,0.667,2.04
ما هي الميزة المعمارية الرئيسية التي يظهر في الصورة والتي تشكل جزءًا من هيكل المبنى القديم؟,['A. الفناء الواسع بين الأعمدةB. السور الضخم المبني من الأحجار الكلسيةC. الأعمدة الضخمة المصنوعة من الحجرD. الثروات البرونزية في بوابات الدخول'],الأعمدة الضخمة المصنوعة من الحجر,C,Architecture,Yemen,478,multiple_choice,73,C. الأعمدة الضخمة المصنوعة من الحجر,0.914,1.95
هل يعتبر الرقش من الأطباق الشهيرة في منطقة مكة المكرمة كما يظهر في الصورة؟,[],'FALSE',nan,Food,Saudi_Arabia,133369,true_false,2135,صواب,0.0,2.7
ما هي الآلات الموسيقية التي تستخدم في الرقصة الظاهر في الصورة؟,['A. الطبل والربابةB. الطبل والعودC. الطبول والنقرزان والمرد والطِيرَانD. الطبل والقانون'],الطبول والنقرزان والمرد والطِيرَان,C,Music,Saudi_Arabia,7287.png,multiple_choice,9503,C. الطبول والنقرزان والمرد والطِيرَان,0.919,2.4
ما هي الميزة المعمارية الرئيسية للبناء الذي يظهر في الصورة؟,['A. البناء مصنوع من الحجارة والطينB. البناء مصنوع من الخشب والزجاجC. البناء مصنوع من الطوب الأحمر فقطD. البناء مصنوع من الخرسانة والحديد'],البناء مصنوع من الحجارة والطين,A,Architecture,Yemen,603,multiple_choice,2496,A. البناء مصنوع من الحجارة والطين,0.909,1.22
ما هو المكون الذي يظهر في الصورة ويُضاف إلى المحموص لتعزيز نكهته ورائحته؟,['A. الثوم المطحونB. البقدونس المفرومC. البصل المحمص بالزيتD. الزبيب المجفف'],البصل المحمص بالزيت,C,Food,Saudi_Arabia,133413,multiple_choice,19970,C. البصل المحمص بالزيت,0.864,2.24
ما هي المباني التي تبرز بتصميماتها المعمارية الفريدة والزجاجية والتي تظهر في الصورة؟,['A. الحدائق العامةB. المباني الحديثةC. المباني القديمةD. الشوارع الرئيسية'],المباني الحديثة,B,Geography,Qatar,10153.png,multiple_choice,14192,B. المباني الحديثة,0.833,1.81
