id,question,arabic_question,translation_time_sec
428,"A kangaroo enters a building. He only passes through triangular rooms. Where does he leave the building?
<image1>",كاجورو يدخل المبنى. يمر فقط عبر غرف مثلثية. أين يخرج من المبنى؟,12.65
429,"From which rectangular can you cut the figure shown on the right side out?
<image1>
<image2>",من أي مستطيل يمكن قص الشكل المُعرض على الجانب الأيمن؟,9.85
430,"Numbers in the picture are ticket prices between neighbouring towns. Peter wants to go from $A$ to $B$ as cheaply as possible. What is the lowest price he has to pay?
<image1>",الارقام في الصورة هي اسعار التذاكر بين المدن المجاورة. يريد بيتير الذهاب من A إلى B بشكل اقتصادي. ما هو السعر الأقل الذي يجب أن يدفعه؟,12.1
431,"Six numbers are written on the following cards, as shown.
<image1>
What is the smallest number you can form with the given cards?",ستة أرقام مكتوبة على البطاقات التالية، كما هو موضح. <image1> ما هو أصغر عدد يمكنك تشكيله باستخدام البطاقات المعطاة؟,14.16
432,"Between two points four routes are drawn. Which route is the shortest?
<image1>",تم رسم أربعة مسارات بين نقطتين. أي المسارات هي الأقصر؟,10.02
433,"In the picture you can see a number flower. Mary pulled out all the leaves with numbers which give remainder 2 when divided by 6. What is the sum of the numbers on the leaves that Mary pulled out?
<image1>",في الصورة يمكنك رؤية زهرة عدد. أخرجت ماري جميع الأوراق التي عليها أرقام تُعطي باقي 2 عند قسمتها على 6. ما هو مجموع الأرقام الموجودة على الأوراق التي أخرجتها ماري؟,13.55
434,"You can move or rotate each shape as you like, but you are not allowed to flip them over. What shape is not used in the puzzle?
<image1>
<image2>","يمكنك تحريك أو دوران كل الشكل كما تشاء، لكنك لا يُسمح لك بقلبهم. ما الشكل الذي لم يتم استخدامه في الألغاز؟
<image1>
<image2>",9.16
435,"John is building houses of cards. On the picture there are houses of one, two, and three layers that John built. How many cards does he need to build a 4-layer house?
<image1>",كم عدد البطاقات التي يحتاجها جون لبناء منزل من طبقات أربع؟,19.85
436,"The structure shown in the picture is glued together from 10 cubes. Roman painted the entire structure, including the bottom. How many faces of the cubes are painted?
<image1>",كم عدد وجوه المكعبات التي تم تلوينها؟,29.09
437,"In each of the nine cells of the square we will write down one of the digits 1 , 2 or 3. We will do this in such a way that in each horizontal row and vertical column each of the digits 1, 2 and 3 will be written. In the upper left cell we will start with 1. How many different squares can we then make?
<image1>",كم عدد المربعات المختلفة التي يمكننا صنعها؟,35.31
438,"A child's toy hangs from the ceiling and it is in balance at all places. The same shapes have the same weight. The weight of a circle is 30 grams. What is the weight of a square?
<image1>",لعبة طفل تعلق من السقف وهي متوازنة في جميع الأماكن. الأشكال نفسها لها نفس الوزن. وزن دائرة هو 30 غرامًا. ما هو وزن المربع؟ <image1>,18.17
439,"Zita walks from left to right and puts the numbers into her basket. Which of the following numbers can be in her basket?
<image1>",زِيتا تمشي من اليسار إلى اليمين وتضع الأرقام في سلتها. أي من الأرقام التالية يمكن أن تكون في سلتها؟ <image1>,8.03
440,"In which figure can you find the largest number of small squares?
<image1>",في أي شكل يمكنك العثور على أكبر عدد من المربعات الصغيرة؟,4.67
441,"What is the piece that fits completely to the given one to form a rectangle?
<image1>
<image2>","ما هي القطعة التي تتناسب تمامًا مع القطعة المعطاة لتشكل مستطيلًا؟
<image1>
<image2>",11.73
442,"Which number has to be put into the dark cloud to have all the given calculations right?
<image1>",ما هو العدد الذي يجب وضعه في السحابة السوداء لكي تكون جميع العمليات الحسابية المقدمة صحيحة؟,6.8
443,"Daniela has got cubes with their edges $1 \mathrm{dm}$ long. She has put some of them into the aquarium of the shape of a cube with the edges $3 \mathrm{dm}$ long as you see in the picture. How much more cubes can she put into the aquarium?
<image1>",ديانا لديها مكعبات بطول حرفها 1 ديسيمتر. لقد وضعت بعضها في خزانة الأسماك التي تشبه المكعب بطول حرفها 3 ديسيمتر كما تظهر في الصورة. كم عدد المكعبات الإضافية التي يمكنها وضعها في الخزانة؟,20.79
444,"A cube with the edge $3 \mathrm{~cm}$ long is painted grey and cut into smaller cubes each with an edge of $1 \mathrm{~cm}$ long. How many smaller cubes will have exactly 2 faces painted?
<image1>",12,10.41
445,"We count the number of white cells. How many white cells has the next square?
<image1>
8 white cells
<image2>
21 white cells
<image3>
40 white cells","نحسب عدد الخلايا البيضاء. كم عدد الخلايا البيضاء في المربع التالي؟
<image1>
8 white cells
<image2>
21 white cells
<image3>
40 white cells",7.32
446,"A square piece of paper is folded twice so that the result is a square again. In this square one of the corners is cut off. Then the paper is folded out. Which sample below cannot be obtained in this way?
<image1>
<image2>",قطعة ورق مربعة تُطَوَّى مرتين بحيث تكون النتيجة مربعًا مرة أخرى. في هذا المربع يُحْتَرَق أحد الزوايا. ثم يتم فتح الورق. أي العينات التالية لا يمكن الحصول عليها بهذه الطريقة؟,9.74
447,"We make a sequence of figures by dividing a square. The first four figures have 1, 4, 7 and 10 parts, respectively.
<image1>
How many parts will the fifth figure have?","نقوم بتشكيل تسلسل من الأشكال من خلال تقسيم مربع. الأشكال الأربعة الأولى تحتوي على 1، 4، 7 و10 أجزاء على التوالي.
<image1>
كم عدد الأجزاء التي سيحتوي عليها الشكل الخامس؟",11.64
448,"How many stars are inside the figure?
<image1>",كم عدد النجوم داخل الشكل؟,5.55
449,"Rebecca has drawn a point on a sheet of paper. She now draws four straight lines that pass through this point. Into how many sections do these lines divide the paper?
<image1>",8,12.05
450,"The storm made a hole on the front side of the roof. There were 10 roof tiles in each of 7 rows. How many tiles are left on the front side of the roof?
<image1>",أدت العواصف إلى وجود ثقب على الجانب الأمامي من السقف. كان هناك 10 لوحات سقف في كل من 7 صفوف. كم عدد اللوحات التي تبقى على الجانب الأمامي من السقف؟,17.94
451,"Carol is playing with two equilateral triangular cards shown. She puts one card beside or on the top of a part of the other and both on a sheet of paper. Then she draws on the paper around them, following the contour. She cannot get only one of the shapes. Which one is it?
<image1>
<image2>",كارول تلعب مع بطاقة مثلثية متساوية الأضلاع. تضع بطاقة واحدة إلى جانب أو فوق جزء من الأخرى ثم ترسم حولهما على ورقة، تتبع الحواف. لا يمكنها الحصول فقط على شكل واحد. أي الشكل هو؟,7.35
452,"Anna made the figure on the right out of five cubes. Which of the following figures (when seen from any direction) cannot she get from the figure on the right side if she is allowed to move exactly one cube?
<image1>
<image2>",صَنَعَت أنَّا الشكل على اليمين من خمس مكعبات. أي من الشكلات التالية (عند رؤيتها من أي اتجاه) لا يمكنها أن تصل إليها من الشكل على اليمين إذا كانت مسموح لها أن تنقل مكعبًا واحدًا فقط؟,16.77
453,"Which of the figures is shown most often in the sequence?
<image1>
<image2>",أي الشكل التالي يتم عرضه أكثر تكرارًا في التسلسل؟,4.62
454,"We have a large number of blocks of $1 \mathrm{~cm} \times$ $2 \mathrm{~cm} \times 4 \mathrm{~cm}$. We will try to put as many of these blocks as possible into a box of $4 \mathrm{~cm} \times$ $4 \mathrm{~cm} \times 4 \mathrm{~cm}$ so that we were able to close the box with a lid. How many blocks fit in?
<image1>",كم عدد الكتل التي يمكن ترتيبها في الصندوق؟,40.44
455,"Jane shoots two arrows at the target. In the drawing we see that her score is 5. If both arrows hit the target, how many different scores can she obtain?
<image1>",كم عدد النقاط المختلفة التي يمكن أن تحققها؟,22.57
456,"A garden of a square shape is divided into a pool (P), a flowerbed (F), a lawn (L) and a sandpit (S) (see the picture). The lawn and the flowerbed are of a square shape. The perimeter of the lawn is $20 \mathrm{~m}$, the perimeter of the flowerbed is $12 \mathrm{~m}$. What is the perimeter of the pool?
<image1>",الحديقة على شكل مربع مقسمة إلى حوض (P)، وحديقة زهور (F)، وعشب (L)، وحفرة رمل (S) (انظر الصورة). الحديقة والنباتات على شكل مربع. محيط الحديقة هو 20 مترًا، ومحيط حديقة الزهور هو 12 مترًا. ما هو محيط الحوض؟,62.36
457,"One of the cube faces is cut along its diagonals (see the fig.). Which two of the following nets are impossible?
<image1>
<image2>",واحدة من وجوه المكعب تُقطع على طول قطريها (انظر الشكل). أي من الشبكات التالية لا يمكن أن تكون؟,16.28
458,"Where is the Kangaroo?
<image1>",أين كانغورو؟,6.38
459,"In the picture you see the number 930 . How many small squares must be changed so that the number becomes 806?
<image1>
<image2>",كم عدد المربعات الصغيرة التي يجب تغييرها بحيث يصبح الرقم 806؟,34.76
460,"In his garden Tony made a pathway using 10 paving stones. Each paver was $4 \mathrm{dm}$ wide and 6 dm long. He then drew a black line connecting the middle points of each paving stone. How long is the black line?
<image1>",54 dm,41.81
461,"Peter shared a bar of chocolate. First he broke off a row with five pieces for his brother. Then he broke off a column with 7 pieces for his sister. How many pieces were there in the entire bar of chocolate?
<image1>",بطرس قسم حبة شوكولاتة. أولًا، قطع صفًا مكونًا من خمس قطع لأخيه. ثم قطع عمودًا مكونًا من سبع قطع لأخته. كم عدد القطع الموجودة في الشوكولاتة بأكملها؟,23.11
462,"Picture $X$ is paired with picture $Y$. Which of the following pictures is paired with picture $G$ ?
<image1>
<image2>",الصورة $X$ مُطابقة مع الصورة $Y$. أي من الصور التالية مُطابقة مع الصورة $G$ ؟,10.63
463,"Thomas has made a table out of small cubes. How many small cubes did he use?
<image1>",صنع توماس طاولة من مكعبات صغيرة. كم عدد المكعبات الصغيرة التي استخدمها؟,36.04
464,"Which of the following diagrams is impossible to make with the two dominos?
<image1>
<image2>",أي من الرسومات التالية مستحيلة إنشاؤها باستخدام زوج من الدومينو؟,13.1
465,"Anna and Peter live in the same street. On one side of Anna's house there are 27 houses, and on the other side 13 houses. Peter lives in the house right in the middle of the street. How many houses are there between Anna's and Peter's houses?
<image1>","ERROR: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)",122.02
466,"Sylvia draws shapes made up of straight lines which are each $1 \mathrm{~cm}$ long. At the end of each line she continues in a right angle either to the left or right. At every turn she notes down either a $\vee$ or a $\wedge$ on a piece of paper. The same symbol always indicates a turn in the same direction. Today her notes show $\vee \wedge \wedge \wedge \vee \vee$. Which of the following shapes could she have drawn today if $A$ indicates her starting point?
<image1>",سيلفيا ترسم أشكالاً تتكون من خطوط مستقيمة طول كل منها 1 سم. بعد كل خط مستقيم، تستمر في زاوية قائمة إما إلى اليسار أو اليمين. في كل تحوّل، تسجل إما ∧ أو ∨ على ورقة. نفس الرمز يشير دائمًا إلى اتجاه تحوّل محدد. اليوم، سجلت ملاحظاتها ∧ ∨ ∨ ∨ ∧ ∧. أي من الأشكال التالية يمكن أن تكون قد رسمتها اليوم إذا كان A يشير إلى نقطة البداية؟,31.01
467,"In the picture on the right you see a map. In the middle a piece is missing. The cat should be able to reach the milk, and the mouse the cheese, but the cat and the mouse must not meet each other. What should the piece in the middle look like?
<image1>
<image2>",في الصورة على اليمين ترى خريطة. في المنتصف قطعة مفقودة. يجب أن تكون القطة قادرة على الوصول إلى الحليب، والجرس يجب أن يصل إلى الجبن، لكن القطة والجرس لا يجب أن يلتقيا. ما يجب أن تبدو عليه القطعة في المنتصف؟,15.55
468,"Which square contains 3 quadrilaterals, 3 circles and 4 hearts?
<image1>",ما هو المربع الذي يحتوي على ثلاثة أشكال رباعية وثلاثة دوائر وأربعة قلوب؟,9.92
469,"Six coins build a triangle (see picture). What is the smallest number of coins that must be moved to create the circle?
<image1>",ستة عملات تُشكّل مثلثًا (انظر الصورة المرفقة). ما هو أصغر عدد من العملات التي يجب أن تُنقل لإنشاء دائرة؟,11.95
470,"I have tiles that look like this...
<image1>
Which pattern can I not create with them?
<image2>",لديّ плитки تشبه هذه... <image1> ما الأنماط التي لا يمكنني إنشاؤها باستخدامها؟ <image2>,13.46
471,"Maria folds a square piece of paper in such a way that the kangaroos exactly overlap each other. Along how many of the lines shown is this possible?
<image1>",ماريا تطوي ورقة مربعة بطريقة تُطابق الكنجرو بشكل دقيق. كم من الخطوط المُوضَّحة يمكن أن تُحقق ذلك؟,13.94
472,"A large cube is made from 64 small cubes. The 5 visible faces of the large cube are green, the bottom face is red. How many of the small cubes have 3 green faces?
<image1>",4,31.99
473,"Kamilla wrote down all of the numbers from 1-100 one after the other in a table with 5 columns. A part of the table is shown. Her brother cut out a piece of the table and erased some of the numbers. Which of the following could this piece have been?
<image1>
<image2>",كميلла كتبت جميع الأرقام من 1 إلى 100 واحدة تلو الأخرى في جدول بخمسة أعمدة. جزء من الجدول موضح. قطع أخوها جزء من الجدول وحذف بعض الأرقام. أي من الخيارات التالية قد يكون هذا الجزء؟,18.19
474,"lines are drawn on a piece of paper and some of the lines are given numbers. The paper is cut along some of these lines and then folded as shown in the picture. What is the total of the numbers on the lines that were cut?
<image1>",تم رسم خطوط على ورقة وتم تعيين أرقام على بعض هذه الخطوط. تم قطع الورقة على طول بعض هذه الخطوط ثم تم طويها كما هو موضح في الصورة. ما هو مجموع الأرقام الموجودة على الخطوط التي تم قطعها؟,15.6
475,"Which stone should Mr Flintstone place on the right side of the scales, so that both sides weigh the same?
<image1>
<image2>",أي حجر يجب أن يضعه سيد فلينستون على الجانب الأيمن من الميزان حتى يتساوى وزن الطرفين؟,9.17
476,"A game is played on a board as shown in the picture. I move the counter from square to square according to the following rules. First, one square to the right, then one square up, then one square left, then one square down, and then once again one square right. Which picture shows where the counter can then be found?
<image1>
<image2>",يتم لعب اللعبة على لوحة كما هو موضح في الصورة. أقوم بتحريك العداد من مربع إلى مربع وفقًا للقواعد التالية. أولاً، مربع واحد إلى اليمين، ثم مربع واحد إلى الأعلى، ثم مربع واحد إلى اليسار، ثم مربع واحد إلى الأسفل، ثم مربع واحد إلى اليمين مرة أخرى. أي الصور تُظهر مكان العداد بعد تنفيذ هذه الحركات؟ <image1> <image2>,16.46
477,"Maria describes one of these five shapes in the following way: ""It is not a square. It is grey. It is either round or three sided."" Which shape did she describe?
<image1>","ماريا تصف أحد هذه الخمسة أشكال بحثها تقول الآتي: ""ليس مربعًا. لونه رمادي. إما دائري أو ثلاثي الأضلاع."" أي الشكل وصفتها؟",10.86
478,"Which shape has the biggest area?
<image1>",ما الشكل الذي يملك أكبر مساحة؟,5.74
479,"A page is folded along the thick line as shown. Which letter will not be covered by a grey square?
<image1>",تم طي الصفحة على طول الخط السميكة كما هو مُوضَّح. أي حرف لن يُغطى بواسطة مربع رمادي؟,12.31
480,"In each square of the maze there is a piece of cheese. Ronnie the mouse wants to enter and leave the maze as shown in the picture. He doesn't want to visit a square more than once, but would like to eat as much cheese as possible. What is the maximum number of pieces of cheese that he can eat?
<image1>",في كل مربع من اللّغز يوجد قطعة جبن. يرغب رونني الفأر في الدخول والخروج من اللّغز كما هو موضح في الصورة. لا يريد رونني زيارة مربع أكثر من مرة، لكنه يرغب في تناول أكبر قدر ممكن من الجبن. ما هو العدد الأقصى لقطع الجبن التي يمكن لرونني تناولها؟,27.57
481,"How often in a day does a digital clock display four identical digits? The picture shows a digital clock that is displaying exactly two different digits.
<image1>",كم مرة في اليوم تعرض الساعة الرقمية أربعة أرقام متطابقة؟ الصورة تُظهر ساعة رقمية هي تعرض بالضبط اثنين من الأرقام المختلفة.,11.86
482,"Four identical dice were put together to make a tower as shown. The sum of the numbers on opposite faces of each dice is always 7. What would the tower look like from behind?
<image1>
<image2>",تم وضع أربع نرد متطابقة معًا لتشكيل برج. مجموع الأرقام على الوجوه المقابلة لكل نرد هو دائمًا 7. ما الشكل الذي سيبدو عليه البرج من الخلف؟,11.95
483,"You can place together the cards pictured, to make different three digit numbers, for instance 989 or 986. How many different three digit numbers can you make with these cards?
<image1>",يمكنك تجميع البطاقات المُصوَّرة لصنع أرقام ثلاثية الأرقام مختلفة، على سبيل المثال 989 أو 986. كم عدد الأرقام الثلاثية الأرقام المختلفة التي يمكنك صنعها باستخدام هذه البطاقات؟,12.14
484,"Andrea made the pattern in the picture out of several identical tiles. None of the tiles overlap each other. Which of the following tiles could she definitely not have used?
<image1>
<image2>",صَنَعَت أندريا النَمط في الصورة من عدة بلاط متطابقة. لا يُغطي أي بلاط الآخر. أي من البلاط التالية لم تستخدمه بالتأكيد؟,22.61
485,"The picture shows a Fortress made from cubes. How many cubes were used to make it?
<image1>",الصورة تُظهر قلعة مصنوعة من مكعبات. كم عدد المكعبات التي استُخدمت لصنعها؟,10.34
486,"Johannes wrote the numbers 6,7 and 8 in the circles as shown. He wants to write the numbers 1, 2, 3, 4 and 5 in the remaining circles so that the sum of the numbers along each side of the square is 13. What will be the sum of the numbers in the grey circles?
<image1>","To solve this problem, we begin by analyzing the structure of the puzzle and the constraints given.

---

### **Step 1: Understand the Total Sum of All Numbers**

The numbers involved are from 1 to 8, so the total sum is:

$$
1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 = 36
$$

---

### **Step 2: Use the Given Information About the Sides**

Each side of the figure (presumably a square or similar shape) sums to 13. Since there are 4 sides, the total sum of all side values is:

$$
4 \times 13 = 52
$$

However, each **corner** is counted **twice** (once for each adjacent side), while each **midpoint** is counted **once**. Let:

- $ S $ = sum of the 4 corner values
- $ T $ = sum of the 4 midpoint values

Then:

$$
2S + T = 52 \quad \text{(1)}
$$
$$
S + T = 36 \quad \text{(2)}
$$

Subtracting equation (2) from (1):

$$
(2S + T) - (S + T) = 52 - 36 \Rightarrow S = 16
$$

Substitute $ S = 16 $ into equation (2):

$$
16 + T = 36 \Rightarrow T = 20
$$

So, the **sum of the corners** is 16, and the **sum of the midpoints** is 20.

---

### **Step 3: Determine Which Numbers Are in the Grey Circles**

The problem states that **6, 7, and 8** are already placed in the figure. The remaining numbers to be placed are **1, 2, 3, 4, and 5**.

Now, the question asks for the **sum of the grey circles**. Since the grey circles are not explicitly defined, we must infer based on the structure and the numbers involved.

- The **midpoints** sum to 20, and the **corners** sum to 16.
- The numbers 6, 7, and 8 are already placed, and the remaining numbers (1 through 5) are to be placed in the remaining positions.
- If the **grey circles** are the ones that are **not yet placed** (i.e., the ones with values 1 through 5), then the sum of the grey circles is:

$$
1 + 2 + 3 + 4 + 5 = 15
$$

---

### **Final Answer**

$$
\boxed{15}
$$",86.88
487,"Sylvia draws patterns with hexagons as shown. If she carries on drawing in this way, how many hexagons will there be in the fifth pattern?
<image1>",سيلفيا ترسم أنماطًا باستخدام سداسيات الأوجه كما هو موضح. إذا استمرت في رسم الأنماط بهذه الطريقة، كم سداسية الأوجه ستكون في الأنماط الخامسة؟,12.21
488,"In which of the five pictures is the white area bigger than the grey area?
<image1>",في أي من الخمس صور المنطقة البيضاء أكبر من المنطقة الرمادية؟,7.25
489,"Father hangs towels on the washing as shown in the picture. For three towels he uses 4 clothes pegs. How many clothes pegs would he use for 5 towels?
<image1>",الدكتور يعلق مناشف على الغسيل كما هو موضح في الصورة. لثلاثة مناشف يستخدم 4 دبابيس. كم عدد الدبابيس التي سيستخدمها لـ 5 مناشف؟,9.98
490,"Oli coloured in the following 8 fields in the grid: A2, B1, B2, B3, B4, C3, D3 and D4. Which is his grid?
<image1>
<image2>",أولى ألوّن في الحقول التالية الثمانية في الشبكة: أ2، ب1، ب2، ب3، ب4، ج3، د3، د4. أي الشبكات هو شبكة أولي؟ <image1> <image2>,19.06
491,"Mike and Jake play darts. Each of them throws three darts. Who won, and by how many points?
Mike: <image1>
Jake: <image2>",مايك وجيك يلعبان الرمي بالطواقي. يُرمي كل منهما ثلاثة طواقي. من فاز، وبكم من النقاط؟ مايك: <image1> جيك: <image2>,17.19
492,"A Wall was tiled alternately with grey and striped tiles. Some tiles have fallen from the wall. How many grey tiles have fallen off?
<image1>",تم تغطية الجدار ببلاط رمادي وبلاط مُشَرَّط بأسلوب بديل. هَوَلَت بعض البلاط من الجدار. كم عدد البلاط الرمادية التي هَوَلَت؟ <image1>,30.3
493,"Anna has made two $L$ shapes out of 8 squares. How many of the following 4 shapes can she make with both $L$ shapes?
<image1>
<image2>",أناه قد قامت بإنشاء شكلين $L$ باستخدام 8 مربعات. كم من بين الأشكال التالية يمكنها إنشاؤها باستخدام كلا الشكلين $L$؟,15.68
494,"You need 3 pieces to build this shape. Each piece is made out of 4 , equally sized cubes of the same colour. What is the shape of the white piece?
<image1>
<image2>",تحتاج إلى ثلاث قطع لبناء هذه الشكل. كل قطعة مصنوعة من 4 مكعبات متساوية الحجم من نفس اللون. ما هو الشكل للقطعة البيضاء؟,10.31
495,"A flee stands on the floor and wants to climb the 10 steps. He can either jump 3 steps upwards or jump 4 steps downwards. What is is the smallest number of jumps he must make?
<image1>",ما هو أصغر عدد من القفزات التي يجب أن يقوم بها؟,46.58
496,"Frank laid out his dominoes as shown in the picture. (Dominoes which touch must always have the same number of points). Before his brother George removed two dominoes there were 33 points altogether. How many points is the questionmark worth?
<image1>",ما قيمة العلامة الاستفهام؟,59.69
497,"Grandma's watch has an hour, minute and second hand. We don't know which hand does which job, but we know that the watch tells the correct time. At 12:55:30 hours the watch looked as pictured. How will the watch look at 8:11:00 hours?
<image1>
<image2>",ساعة الجدة تحتوي على عقرب الساعة، وعقرب الدقيقة، وعقرب الثانية. لا نعرف أي عقرب يقوم بعمل ما، ولكننا نعرف أن الساعة تُظهر الوقت الصحيح. في الساعة 12:55:30، ظهرت الساعة كما هو مصور. كيف ستبدو الساعة في الساعة 8:11:00؟,14.6
498,"How many more bricks does the right hand pyramid have than the left hand pyramid?
<image1>",كم عدد كتل الحجر الإضافية التي يحتوي عليها الهرم الأيمن مقارنة بالهرم الأيسر؟,6.98
499,"In which picture are there more black Kangaroos than white ones?
<image1>",في أي الصورة هناك أكثر كينغارو سوداء من البيضاء؟,12.18
500,"Anna has <image1>.
Barbara gave Eva <image2>.
Josef has a <image3>.
Bob has <image4>.
Who is Barbara?
<image5>","أناها لديها <image1>.
باربارا أعطت إيفا <image2>.
جوسيف لديه <image3>.
بوب لديه <image4>.
من هي باربارا؟
<image5> /think",14.01
501,"Anna starts in the direction of the arrow. At each crossing she turns either right or left. At the first crossing she turns right, at the next left, then left again, then right, then left and left again. What will she find at the next crossing that she comes to?
<image1>
<image2>",تبدأ أننا في اتجاه السهم. في كل تقاطع تُتحول إما إلى اليمين أو اليسار. في التقاطع الأول تُتحول إلى اليمين، وفي التقاطع التالي إلى اليسار، ثم إلى اليسار مرة أخرى، ثم إلى اليمين، ثم إلى اليسار، ثم إلى اليسار مرة أخرى. ما الذي ستجده في التقاطع التالي الذي تصل إليه؟,10.61
502,"Nathalie wanted to build a large cube out of lots of small cubes, just like in picture 1. How many cubes are missing from picture 2 that would be needed to build the large cube?
<image1>",كم عدد المكعبات المفقودة في الصورة 2 التي ستكون مطلوبة لبناء المكعب الكبير؟,9.27
503,"The rectangular mirror has broken. Which piece is missing?
<image1>
<image2>",انكسرت المرآة المستطيلة. أي قطعة مفقودة؟,10.2
504,"How many triangles can be seen in the picture on the right? (Be careful! A triangle can be also be made by joining several smaller triangles together.)
<image1>",كم عدد المثلثات التي يمكن رؤيتها في الصورة على اليمين؟ انتبه! يمكن أيضًا أن يُصنع مثلث من خلال تجميع عدة مثلثات أصغر معًا.,13.04
505,"Which of the following pieces can be joined to the one pictured so that a rectangle is formed?
<image1>
<image2>",أي من القطع التالية يمكن تجميعها مع القطعة المُصوَّرة لتشكيل مستطيل؟ <image1> <image2>,17.23
506,"If I join the midpoints of the sides of the large triangle in the picture, a small triangle is formed. If I join the midpoints of the sides of this small triangle, a tiny triangle is formed. How many of these tiny triangles can fit into the largest triangle at the same time?
<image1>",إذا قمت بربط نقاط المنتصف لأضلاع المثلث الكبير في الصورة، فإن مثلثًا صغيرًا يتشكل. وإذا قمت بربط نقاط المنتصف لأضلاع هذا المثلث الصغير، فإن مثلثًا صغيرًا جدًا يتشكل. كم عدد هذه المثلثات الصغيرة جدًا التي يمكن أن تملأ المثلث الكبير في نفس الوقت؟,13.01
507,"Baris has a few dominoes as shown in the picture. He wants to lay them in a line according to the rules of dominoes, that is that two dominoes can only be laid together if the neighbouring squares have the same number of dots in them. What is the biggest number of these dominoes that he can lay in a single line?
<image1>",يملك باري عددًا قليلاً من الدومينو كما هو موضح في الصورة. يريد باري وضعهم في خط مستقيم وفقًا لقواعد الدومينو، أي أن يمكن وضع زوج من الدومينو فقط معًا إذا كانت المربعات المجاورة تحتوي على نفس عدد النقاط فيها. ما هو أكبر عدد من هذه الدومينو يمكنه وضعها في خط مستقيم واحد؟,13.05
508,"Peter has bought a rug that is $36 \mathrm{dm}$ wide and $60 \mathrm{dm}$ long. On the rug you can see squares that contain either a sun or a moon, as shown in the picture. As you can see there are exactly nine squares along the width of the rug. The total length of the rug cannot be seen. How many moons would you see, if you could see the entire rug?
<image1>",بيتر اشتري رغوة عريضة بطول 36 ديسيمتر وطول 60 ديسيمتر. يمكنك رؤية مربعات تحتوي على شمس أو قمر كما هو موضح في الصورة. كما ترى هناك تسعة مربعات بالضبط على عرض الرغوة. لا يمكن رؤية طول الرغوة بالكامل. كم عدد القmoات التي ستراها إذا كنت تستطيع رؤية الرغوة بالكامل؟,28.0
509,"Beatrice has a few grey tiles that all look exactly like the one pictured. At least how many of these tiles does she need in order to make a complete square?
<image1>",ما أدنى عدد من هذه المكعبات التي تحتاجه بياتريس لصنع مربع كامل؟,10.0
510,"Luisa draws a star. She cuts a piece out of the middle of the drawing. What does this piece look like?
<image1>
<image2>","لويزا ترسم نجمة. تقطع قطعة من الوسط في الرسم. ما الشكل الذي تبدو عليه هذه القطعة؟
<image1>
<image2>",10.13
511,"For which houses, were exactly the same building blocks used?
<image1>",للمنازل التي استخدمت نفس كتل البناء بالضبط؟,13.87
512,"Christopher solved the sums next to the dots that you can see on the right, and got the answers 0 to 5 . He joined the dots in order. He started with the dot that had the answer 0 and finished with the dot that had the answer 5 . Which shape was he left with?
<image1>
<image2>",حل كристوفر الجمع إلى جانب النقاط التي يمكنك رؤيتها على اليمين، وحصل على الإجابات من 0 إلى 5. ربط النقاط بالترتيب. بدأ بالنقطة التي كانت إجابتها 0 وانتهى بالنقطة التي كانت إجابتها 5. ما الشكل الذي تبقى به؟,14.05
513,"Mr Hofer has drawn a picture of flowers on the inside of a display window (large picture). What do these flowers look like when you look at the picture from the outside?
<image1>
<image2>",السيد هوفر رسم صورة لزهور على داخل نافذة العرض (صورة كبيرة). كيف تبدو هذه الزهور عندما تنظر إلى الصورة من الخارج؟,12.22
514,"With which square do you have to swap the question mark, so that the white area and the black area are the same size?
<image1>
<image2>",مع أي مربع تحتاج إلى تبديل العلامة، بحيث تتساوى المنطقة البيضاء والمنطقة السوداء في الحجم؟,10.95
515,"The solid in the diagram is made out of 8 identical cubes. What does the solid look like when viewed from above?
<image1>
<image2>","الجسم في الرسم يتألف من 8 مكعبات متطابقة. ما الشكل الذي يبدو عليه الجسم عند النظر إليه من الأعلى؟
<image1>
<image2>",10.85
516,"Leo writes numbers in the multiplication pyramid. Explanation of the multiplication pyramid: By multiplying the numbers which are next to each other, the number directly above (in the middle) is calculated. Which number must Leo write in the grey field?
<image1>",يكتب ليو الأرقام في الهرم الضرب. تُحسب الأرقام التي تقع مباشرة أعلاه (في المنتصف) بضرب الأرقام التي تقع بجانب بعضها. ما هو العدد الذي يجب أن يكتب ليو في المجال الرمادي؟,13.92
517,"Katja throws darts at the target pictured on the right. If she does not hit the target she gets no points. She throws twice and adds her points. What can her total not be?
<image1>",تُرمي كاتيا السهام في الهدف المُصور على اليمين. إذا لم تُصوب الهدف، لا تحصل على نقاط. تُرمي مرتين وتضيف نقاطها. ما الذي لا يمكن أن يكون مجموع نقاطها؟,14.6
518,"Erwin has got the following paper pieces:
<image1>
With these four pieces he must exactly cover a special shape. In which drawing will he manage this, if the piece <image2> is placed as shown?
<image3>","إرنو قد حصل على قطع ورق كما يلي:
<image1>
باستخدام هذه الأربعة قطع يجب أن يغطي بشكل دقيق شكل خاص. في أي رسم سيمكن له أن يفعل هذا إذا تم وضع القطعة <image2> كما هو موضح؟
<image3>",9.42
